max_error_x,max_error_y,max_error_norm,max_error_theta,cent_error_x,cent_error_y,cent_error_norm,cent_error_theta
0.0189142, 0.00804305, 0.0205533, 0.00221205, 0.0584536, 0.00531173, 0.0586944, -0.00717735
0.00454736, 0.00737858, 0.00866729, 0.00396967, 0.0314877, 0.00236702, 0.0315765, 0.00194263
0.0108995, -0.0168879, 0.0200998, 0.00167203, 0.0507317, 0.00141215, 0.0507513, 0.00273848
-0.00396895, 0.00083518, 0.00405588, 0.00666285, -0.0360191, 0.0050211, 0.0363674, -0.00169349
-0.0204134, 0.00628042, 0.0213577, 0.00922561, -0.00438666, 0.00261116, 0.00510499, 0.000355721
-0.130922, 0.00452471, 0.131, -0.00408584, -0.101618, 0.00582695, 0.101785, -0.00296528
-0.0118122, 0.00479722, 0.0127492, 0.000956059, -0.0210321, 0.00664234, 0.0220561, 0.00133038
0.0229616, -0.00955892, 0.0248718, -0.00812387, -0.0426807, 0.00461841, 0.0429299, -0.00564837
-0.00674748, -0.0108936, 0.012814, -0.00158763, 0.0158291, 0.00673342, 0.0172017, -0.00639439
0.00102854, 0.0337195, 0.0337352, 0.00837833, 0.0345547, 0.0067668, 0.0352111, -0.00331187
0.00516582, -0.0134792, 0.0144352, 0.0012207, -0.00489902, 0.0112369, 0.0122584, 9.05991e-06
-0.0132949, 0.0220668, 0.0257624, -0.0020268, -0.00350785, 0.0135012, 0.0139494, 0.00378251
0.0564311, 0.0220294, 0.0605785, 0.0319455, 0.0947263, 0.00902843, 0.0951556, 0.00619078
-0.00149512, 0.0128548, 0.0129415, -0.0113931, 0.0319967, 0.0064702, 0.0326444, -0.00867224
-0.0191238, -0.0112703, 0.0221977, 0.000100613, 0.028724, 0.00456285, 0.0290841, -0.00700504
-0.109672, 0.0343437, 0.114924, 0.0652554, -0.10388, 0.014226, 0.10485, 0.124103
0.022157, -0.00121737, 0.0221904, 0.0115182, -0.0478897, 0.00811696, 0.0485727, -0.0104678
-0.0548811, 0.0390227, 0.0673402, 0.0385551, -0.0586975, 0.0111878, 0.0597542, 0.0949941
0.0684495, 0.0026896, 0.0685023, 0.020978, -0.035295, 0.0136323, 0.0378362, 0.0643048
-0.0216498, 0.0199568, 0.0294447, 0.0101357, -0.0037396, 0.00853848, 0.0093215, 0.0625064
0.0114653, -0.00522566, 0.0126, 0.0178256, 0.0124228, 0.012526, 0.0176416, 0.0249672
0.000553608, 0.0173872, 0.017396, 0.0259709, 0.0309563, -0.00319457, 0.0311207, 0.0494959
0.0691457, -0.0349121, 0.0774595, 0.0320017, 0.0424659, -0.00955081, 0.0435267, 0.0980756
0.0579877, -0.0266035, 0.063799, 0.0143795, 0.042454, -0.00967813, 0.0435432, 0.0598054
0.0296681, -0.0373123, 0.0476697, 0.0194747, 0.0454733, -0.0157568, 0.0481259, 0.0424907
0.0335128, -0.010525, 0.0351267, 0.00842023, 0.0338717, -0.00307894, 0.0340113, -0.0200496
-0.0357425, 0.0610895, 0.0707775, -0.0103406, 0.0378149, 0.00111771, 0.0378314, 0.0224736
0.0441339, -0.00850344, 0.0449456, 0.0165067, 0.034168, 0.0185189, 0.0388639, -0.000403285
-0.0105658, 0.107314, 0.107833, -0.0119686, 0.0246246, 0.0397184, 0.0467324, -0.0501251
-0.0372272, 0.134813, 0.139858, -0.0106647, 0.0297225, 0.0252287, 0.0389861, 0.0175065
0.0158639, -0.0273519, 0.0316194, 0.0102733, 0.0337143, -0.072397, 0.0798622, 0.00925815
0.0241787, -0.01193, 0.0269618, 0.00720775, 0.021894, 0.0102353, 0.0241683, 0.00230873
0.0103188, -0.127168, 0.127586, 0.00306606, 0.0268841, -0.122622, 0.125534, 0.003685
0.0056777, -0.0150325, 0.016069, 0.00367761, 0.0221038, -0.130897, 0.13275, 0.00618708
-0.00827456, -0.025542, 0.0268489, -0.00800622, 0.0227091, -0.113473, 0.115723, 0.0253289
