max_error_x,max_error_y,max_error_norm,max_error_theta,cent_error_x,cent_error_y,cent_error_norm,cent_error_theta
0.0413454, 0.00329375, 0.0414764, -0.00102496, 0.093888, 0.0122352, 0.0946819, 0.0175107
0.0303361, 0.0162399, 0.0344095, 0.015538, 0.0476096, 0.0122352, 0.0491566, 0.0059371
-0.0230114, 0.00419331, 0.0233904, -0.012651, 0.0586622, 0.0119123, 0.0598595, 0.00604963
0.00148296, 0.0152936, 0.0153653, 0.00415134, -0.0276206, 0.0147443, 0.0313096, 0.00537443
0.00188303, 0.0282612, 0.0283238, 0.000237942, 0.0321693, 0.0114679, 0.0341523, -0.00166351
-0.0985136, 0.0096035, 0.0989806, -0.000416581, -0.0817294, 0.00882602, 0.0822046, 0.0117941
-0.0111582, 0.0200288, 0.0229273, -0.00389838, -0.0288389, 0.00974321, 0.0304403, 0.00809652
0.00043726, -0.000769615, 0.000885157, 0.00914717, -0.0783744, 0.0106158, 0.0790901, 0.00311351
-0.0295143, 0.00919437, 0.0309133, -0.0147851, -0.0199525, 0.0042758, 0.0204055, 0.0019424
-0.0315537, 0.0105956, 0.0332852, -0.00942373, -0.00818825, 7.27177e-05, 0.00818857, -0.00294828
0.00152707, 0.0100229, 0.0101385, 0.0028863, -0.0300961, -0.00348401, 0.030297, -0.0100622
0.0222397, -0.00209522, 0.0223382, 0.0113228, -0.0331063, 0.00766206, 0.0339814, -0.0113678
0.0842674, 0.0279057, 0.0887678, 0.0350154, 0.0968869, 0.00990605, 0.097392, -0.00532675
0.00408673, -0.0115013, 0.0122058, -0.00865149, 0.0232761, 0.00876641, 0.0248722, -0.00399494
0.00618839, -0.00984406, 0.0116276, -0.00383312, 0.0463908, 0.00845098, 0.0471542, 0.000196218
-0.0604131, 0.0384231, 0.0715966, 0.110929, -0.0823095, 0.0171385, 0.0840748, 0.12806
0.00423265, 0.0254776, 0.0258268, -0.00301838, -0.0454152, 0.0181069, 0.0488917, -0.00490236
-0.0399897, 0.0194144, 0.0444533, 0.0686424, -0.0385537, 0.0194278, 0.0431721, 0.0954404
-0.0124898, 0.0177798, 0.0217283, 0.0164514, -0.0263977, 0.0228791, 0.0349327, 0.0612905
0.0219171, 0.0105667, 0.0243314, 0.00646329, -0.0101237, 0.0151162, 0.0181931, 0.0385592
-0.0146279, 0.0215461, 0.0260425, -0.0149782, -0.00605845, 0.0165401, 0.0176147, 0.0123527
-0.00649953, 0.0304079, 0.0310948, -0.00756979, 0.000767708, 0.0130637, 0.0130862, 0.0303049
0.0038507, 0.0291767, 0.0294297, 0.019537, 0.00622249, 0.014205, 0.0155081, 0.069313
0.00590825, 0.00137854, 0.00606694, 0.00693727, 0.011312, 0.00789261, 0.0137933, 0.0278466
-0.0148351, 0.00167704, 0.0149296, -0.00533509, 0.00610399, 0.0143201, 0.0155668, 0.0150423
-0.0349042, 0.0206044, 0.040532, -0.00960445, -0.0104029, 0.0274196, 0.0293267, -0.0606939
0.0151696, -0.00430727, 0.0157693, 0.00800896, -0.0122857, 0.0317755, 0.0340679, -0.01562
-0.0228901, 0.0085299, 0.0244278, -0.0042634, -0.0161004, 0.0120473, 0.0201087, -0.0363599
-0.0237989, -0.0408115, 0.0472437, 0.00372934, -0.0165148, 0.00551748, 0.0174121, -0.0879511
0.0120099, -0.0462723, 0.0478054, 0.00327635, -0.0212591, 0.00740886, 0.0225131, -0.0329055
-0.0276177, 0.0266123, 0.038353, -0.0182599, -0.00955677, -0.125125, 0.12549, -0.0370988
0.00429845, -0.182888, 0.182938, 0.0025506, -0.012207, -0.0447268, 0.0463627, -0.0451106
-0.0250211, -0.104694, 0.107643, -0.00724947, -0.0127053, -0.141589, 0.142158, -0.050079
-0.0211861, 0.0210669, 0.0298775, -0.0111299, -0.00632215, -0.183791, 0.1839, -0.0331483
