max_error_x,max_error_y,max_error_norm,max_error_theta,cent_error_x,cent_error_y,cent_error_norm,cent_error_theta
0.0453587, 0.0131041, 0.0472136, -0.0923808, 0.0406132, -0.00351472, 0.040765, -0.0802171
0.0498562, 0.0053425, 0.0501416, -0.104444, 0.0478001, -0.0106424, 0.0489705, -0.0767484
0.0759945, -0.0283324, 0.0811042, -0.0732683, 0.0460863, -0.0209979, 0.0506445, -0.060623
0.0460739, -0.0300582, 0.0550118, -0.0923068, 0.0536861, -0.0225572, 0.0582325, -0.0923715
0.0576324, -0.00660518, 0.0580097, -0.0856051, 0.0375872, -0.018277, 0.0417953, -0.0846341
0.0690889, -0.0134756, 0.0703909, -0.0865541, 0.0355577, -0.0161379, 0.0390485, -0.103387
0.0421219, -0.0247972, 0.048879, -0.113896, 0.0437164, -0.0261024, 0.0509162, -0.11768
0.0426264, -0.0251168, 0.0494759, -0.111313, 0.0465651, -0.0342745, 0.0578191, -0.11804
0.0318403, -0.0209956, 0.0381395, -0.0874395, 0.0478382, -0.0477152, 0.0675666, -0.120575
0.0470762, -0.0486728, 0.0677142, -0.105842, 0.055891, -0.0675185, 0.0876502, -0.111523
0.034359, -0.0417257, 0.0540516, -0.106077, 0.0360069, -0.0456384, 0.0581323, -0.0950399
0.0385427, -0.0490233, 0.0623605, -0.104701, 0.0284624, -0.0367596, 0.0464906, -0.0856991
0.0267839, -0.0587099, 0.0645308, -0.106128, 0.0300741, -0.0517768, 0.0598773, -0.0933505
0.0119247, -0.0371494, 0.0390164, -0.101887, 0.0184031, -0.045774, 0.0493349, -0.0944401
0.0038681, -0.00754395, 0.00847782, -0.0767622, 0.013567, -0.0517939, 0.0535413, -0.062076
-0.00252819, 0.00338688, 0.00422643, -0.0801209, 0.00521564, -0.0406086, 0.0409422, -0.0726666
-0.00407028, -0.0271879, 0.0274909, -0.083897, 0.0014019, -0.0654524, 0.0654674, -0.0654622
-0.0296392, -0.0278298, 0.0406569, -0.0763469, -0.00265217, -0.0734123, 0.0734602, -0.0577221
0.0170498, -0.0242887, 0.0296755, -0.0902628, -0.00619602, -0.0380377, 0.0385391, -0.065366
0.0112581, -0.0321872, 0.0340993, -0.099691, -0.0165396, -0.0388834, 0.0422549, -0.0592064
-0.00140476, -0.0297117, 0.0297449, -0.0793236, -0.0273228, -0.046886, 0.0542663, -0.0861362
-0.0523329, -0.0359004, 0.0634631, -0.105164, -0.0290203, -0.0358931, 0.0461573, -0.11311
0.00669003, -0.0327397, 0.0334162, -0.0976202, -0.029582, -0.0193982, 0.0353749, -0.122574
-0.0516605, -0.0961277, 0.10913, -0.115328, -0.0499735, -0.0526264, 0.0725733, -0.144856
-0.0837965, -0.125727, 0.151093, -0.131067, -0.0427799, -0.0308855, 0.0527639, -0.190246
-0.0630093, -0.0977958, 0.116337, -0.137479, -0.00990105, -0.00235868, 0.0101781, -0.186004
-0.0307159, -0.0652978, 0.0721614, -0.111698, -0.0377893, -0.0263981, 0.0460966, -0.145509
-0.0252142, -0.0551124, 0.0606064, -0.106378, -0.0422077, -0.032182, 0.053077, -0.116384
-0.0269232, 0.00568748, 0.0275174, -0.0849829, -0.0190191, -0.00759655, 0.0204801, -0.102821
-0.011776, -0.0350437, 0.0369693, -0.110923, -0.00543594, -0.00905734, 0.0105634, -0.105767
-0.0193453, -0.0319994, 0.0373925, -0.0961502, 0.0140085, -0.00585663, 0.0151835, -0.111088
0.0239735, -0.0245354, 0.0343032, -0.103457, 0.00284958, -0.0201864, 0.0203865, 2.69306
-0.00848675, 0.00906324, 0.0124164, -0.0928119, -0.0238409, -0.0138237, 0.0275587, -0.3981
-0.0878034, -0.0129399, 0.0887517, -0.10907, -0.0106058, -0.0107995, 0.0151364, -0.0982988
0.0754299, -0.00548971, 0.0756294, -0.115924, 0.0188627, -0.00977886, 0.0212468, -0.11834
0.0619588, 0.00834906, 0.0625188, -0.0951457, 0.0366516, -0.00865912, 0.0376606, -0.116405
0.0481758, 0.0118455, 0.0496107, -0.112864, 0.0431366, -0.00488794, 0.0434126, -0.127921
0.0594821, 0.0253596, 0.0646624, -0.0967817, 0.0263429, 0.014428, 0.0300352, -0.11694
