max_error_x,max_error_y,max_error_norm,max_error_theta,cent_error_x,cent_error_y,cent_error_norm,cent_error_theta
-0.00978661, -0.0031549, 0.0102826, -0.0668546, -0.00409317, -0.116663, 0.116735, -0.0739212
-0.0148706, -0.0372163, 0.0400773, -0.076491, -0.00648212, -0.0955487, 0.0957684, -0.0693667
0.00170803, -0.067754, 0.0677755, -0.104043, -0.0107985, -0.0806178, 0.0813378, -0.0567625
-0.0114994, -0.0956756, 0.0963642, -0.124634, -0.0152912, -0.0831037, 0.0844987, -0.0585662
-0.0284939, -0.0718556, 0.077299, -0.133001, -0.0117445, -0.0694919, 0.0704773, -0.0994153
-0.00704765, -0.0628111, 0.0632052, -0.111677, -0.00704956, -0.0861416, 0.0864296, -0.146278
-0.0390434, -0.0999862, 0.107339, -0.122407, -0.0389433, -0.113381, 0.119883, -0.149578
-0.0460835, -0.0990372, 0.109234, -0.129045, -0.0270891, -0.125349, 0.128243, -0.177062
-0.0261879, -0.0717325, 0.0763633, -0.113536, -0.0115337, -0.103206, 0.103848, -0.15626
-0.081027, -0.108474, 0.135396, -0.130555, -0.0258341, -0.110917, 0.113886, -0.141102
0.0145216, -0.0319241, 0.0350717, -0.0975072, -0.00255299, -0.0787154, 0.0787568, -0.110956
0.085288, -0.0522539, 0.100023, -0.112105, 0.0512247, -0.0590338, 0.0781598, -0.0978923
0.00640106, -0.0477628, 0.0481898, -0.11231, 0.0627871, -0.0414579, 0.0752394, -0.0948887
0.19951, -0.00457805, 0.199562, -0.0999517, 0.102773, -0.0354584, 0.108718, -0.113199
0.0876293, -0.0210134, 0.0901136, -0.103633, 0.101648, -0.0256131, 0.104826, -2.26146
0.0849056, -0.00909775, 0.0853917, -0.101878, 0.0952749, -0.0206779, 0.097493, -0.260045
0.0182724, -0.00962204, 0.020651, -0.105689, 0.0945091, -0.0102499, 0.0950633, -0.119549
0.0548239, -0.0151507, 0.0568788, -0.121061, 0.0932236, -0.00561774, 0.0933927, -0.118872
0.0609536, 0.000857532, 0.0609596, -0.113514, 0.125323, -0.00301814, 0.125359, -0.116764
0.0636873, 0.00598663, 0.0639681, -0.110037, 0.18603, -0.0014919, 0.186036, -0.127246
0.223927, 0.022243, 0.225029, -0.0996764, 0.151013, 0.013676, 0.151631, -0.104675
0.247869, 0.0140613, 0.248268, -0.104145, 0.156841, 0.0136144, 0.157431, -0.0862589
0.0610137, 0.0297248, 0.0678693, -0.102489, 0.0794053, 0.0390617, 0.088493, -0.107143
0.175951, 0.0302455, 0.178532, -0.087553, 0.0728455, 0.0545862, 0.0910281, -0.105039
0.0857253, 0.0261844, 0.0896351, -0.0986779, 0.103454, 0.0356196, 0.109414, -0.121433
0.188867, 0.0337097, 0.191851, -0.106493, 0.0896549, 0.0598373, 0.107789, -0.1183
0.0706353, 0.0515416, 0.0874408, -0.0960879, 0.100835, 0.035171, 0.106793, -0.11563
0.0954123, 0.0238447, 0.0983467, -0.100231, 0.12231, 0.0338043, 0.126896, -0.101792
0.214782, 0.0491767, 0.22034, -0.104918, 0.149563, 0.0220487, 0.151179, -0.0830418
0.115013, 0.0347848, 0.120158, -0.104561, 0.147194, 0.0477189, 0.154736, -0.0692563
